Vegetables,Boiling,Pressure-cooking,Baking,Microwaving,Griddling,Frying
Artichoke,9.3 ± 2.02bcd,10.0 ± 2.51de,8.8 ± 1.13def,8.3 ± 1.89efg,8.1 ± 1.53cde,5.4 ± 2.16b
Asparagus,9.1 ± 1.46bc,9.6 ± 0.38de,--- A,7.4 ± 1.83def,9.2 ± 0.85def,8.0 ± 1.37bc
Beetroot,---,8.2 ± 1.72cde,8.0 ± 1.00de,---,---,---
Broad bean,14.5 ± 1.11de,17.5 ± 1.25fg,13.9 ± 1.21fg,14.9 ± 1.54hi,14.7 ± 1.22fgh,15.6 ± 1.46def
Broccoli,15.2 ± 1.91ef,---,---,---,15.9 ± 1.33gh,12.2 ± 1.76cd
Brussels sprout,22.7 ± 1.90h,20.6 ± 0.66gh,16.7 ± 1.31gh,18.3 ± 2.07i,28.1 ± 1.63j,20.7 ± 1.14fg
Cauliflower,32.2 ± 1.53i,28.4 ± 1.33i,27.4 ± 1.45j,10.4 ± 1.95fgh,---,17.0 ± 1.67def
Carrot,16.2 ± 1.56efg,19.0 ± 1.71gh,22.5 ± 1.66ij,---,12.9 ± 1.60efgh,20.1 ± 0.93fg
Celery,13.8 ± 1.03cde,−12.8 ± 2.40z,−42.7 ± 2.80z,−39.3 ± 1.53z,−42.3 ± 3.45z,−27.4 ± 2.03z
Eggplant,20.4 ± 0.89fgh,7.5 ± 1.56cde,---,---,---,14.3 ± 1.19de
Garlic,---,---,5.5 ± 1.31bcde,---,6.3 ± 1.61cd,---
Green bean,---,---,---,---,11.5 ± 1.49defg,7.1 ± 0.90cd
Leek,8.7 ± 0.63bc,7.6 ± 1.24cde,---,---,12.5 ± 1.13efgh,17.3 ± 0.92def
Maize,8.3 ± 1.43b,8.6 ± 1.40cde,7.2 ± 1.07cde,---,7.7 ± 1.10cde,---
Onion,9.1 ± 1.32bc,5.3 ± 1.89bcd,---,7.0 ± 1.73cdef,---,---
Pea,14.0 ± 1.93cde,12.2 ± 1.97ef,---,---,12.0 ± 1.32efg,17.4 ± 1.53def
Pepper,74.8 ± 0.88k,72.4 ± 0.84k,71.3 ± 1.32k,70.4 ± 0.71k,62.2 ± 0.69k,24.4 ± 1.11g
Spinach,30.6 ± 1.05i,---,9.7 ± 1.31ef,13.5 ± 1.19ghi,17.8 ± 1.38hi,19.2 ± 1.20efg
Swiss chard,43.0 ± 0.89j,48.8 ± 1.06j,21.7 ± 1.75hi,31.3 ± 1.37j,22.6 ± 0.99ij,48.1 ± 1.46h
Zucchini,21.3 ± 0.64gh,23.3 ± 1.17hi,16.9 ± 1.31ghi,6.2 ± 0.77bcdef,15.6 ± 1.15gh,20.7 ± 1.19fg
